"param","value_raw","value_normalized"
"disp_neg_offset",0,0
"disp_pos_offset",0,0
"disp_scale",0.5,0.5
"recv_neg_mult",1,1
"recv_neg_offset",0,0
"recv_pos_mult",1,1
"recv_pos_offset",0,0
"recv_scale",0.5,0.5
"recv_intercept_mark_scale",1,1
"inside50s_wt",0.252654193894054,0.496610631196505
"clangers_wt",-0.00495058526155443,-0.00901842836766651
"score_involvements_wt",0.312629321001241,0.805652935131415
"kicks_wt",0.0622604469190161,0.300064590625868
"handballs_wt",0.059693246343909,0.254533699642071
"metres_gained_wt",0.0007933631996225,0.120734954585281
"turnovers_wt",-0.113756683591293,-0.228751732425609
"goal_assists_wt",0.318571842125313,0.211263637518778
"contested_poss_wt",0.165673578018884,0.601713813944678
"contested_marks_wt",0.0664899081335719,0.0548843434992993
"ground_ball_gets_wt",0.22378690679157,0.613817294429344
"marks_inside50_wt",0.400312246952462,0.394126465884034
"goals_wt",0.435691339113508,0.410543940396815
"behinds_wt",1.07788448701255,0.754886446328926
"marks_wt",0.0215641463424871,0.0560451252468423
"uncontested_poss_wt",0.0232603374653748,0.121581905334937
"shots_at_goal_wt",0.452971099411867,0.685769620990755
"spoil_wt",0.0833366351680689,0.172868396218
"tackle_wt",0.308974842546638,0.68361007429957
"pressure_wt",-0.00853327562385077,-0.0572612017047407
"def_pressure_wt",-0.207860719408595,-0.833973119194932
"intercepts_wt",0.0653080513491661,0.171767655287108
"one_percenters_wt",0.157438213784978,0.361512761674305
"rebound50s_wt",-0.190006230725727,-0.39217953389625
"frees_against_wt",0.0352715654521968,0.0344124566129131
"hitout_wt",0.0515771265060393,0.331135392974221
"hitout_adv_wt",0.171418005996109,0.3362001683626
"ruck_contest_wt",0.0228080801074936,0.33263632200633
"clearances_wt",0.114250663600469,0.257438212280981
"frees_for_wt",0.18251572119024,0.178688391624991
"decay_recv",281.634479347473,281.634479347473
"decay_disp",572.530398707038,572.530398707038
"decay_spoil",577.050875256965,577.050875256965
"decay_hitout",455.675973154657,455.675973154657
"loading",1,1
"prior_games_recv",3,3
"prior_games_disp",3,3
"prior_games_spoil",3,3
"prior_games_hitout",3,3
"prior_rate_recv",-0.4,-0.4
"prior_rate_disp",-0.3,-0.3
"prior_rate_spoil",0,0
"prior_rate_hitout",0,0
