player,team,injury,estimated_return
Mark Keane,Adelaide Crows,Broken leg,Second half of 2026
Oscar Allen,Brisbane Lions,Concussion,TBC
Eric Hipwood,Brisbane Lions,Knee,Second half of 2026
Ryan Lester,Brisbane Lions,Concussion,TBC
Luke Lloyd,Brisbane Lions,Ankle,TBC
Hugh McCluggage,Brisbane Lions,Calf,TBC
Jesse Motlop,Carlton,Knee (ACL),2027
Bobby Hill,Collingwood,Personal issues,Indefinite
Nic Martin,Essendon,Knee,2027
Sam Sturt,Fremantle,Knee,Mid-to-late season
Shannon Neale,Geelong Cats,Shin,TBC
Elliott Himmelberg,Gold Coast Suns,Knee,Mid-season
Tom Green,Greater Western Sydney,Knee (ACL),2027
Darcy Jones,Greater Western Sydney,Knee (ACL),Late season
Josh Kelly,Greater Western Sydney,Hip,Late season
Leek Aleer,Greater Western Sydney,Groin,TBC
Toby McMullin,Greater Western Sydney,Hamstring,TBC
Cody Angove,Greater Western Sydney,Hamstring,TBC
Will Day,Hawthorn,Shoulder,Round 14
Jake Bowey,Melbourne,Foot,Mid-season
Tom Campbell,Melbourne,Neck,TBC
Jack Henderson,Melbourne,Sacrum,TBC
Shane McAdam,Melbourne,Achilles,TBC
Andy Moniz-Wakefield,Melbourne,Knee,TBC
Jack Viney,Melbourne,Achilles,Mid-season
Kalani White,Melbourne,Glandular Fever,TBC
Jackson Archer,North Melbourne,Knee (ACL),2027
Taylor Goad,North Melbourne,Ankle,TBC
Sam Powell-Pepper,Port Adelaide,Knee (ACL),Late season
Ivan Soldo,Port Adelaide,Knee (ACL),2027
Judson Clarke,Richmond,Knee,Mid-season
Tom Sims,Richmond,Foot,TBC
Samson Ryan,Richmond,Foot,TBC
Taj Hotton,Richmond,Hip,TBC
Max King,St Kilda,Calf/Knee,Round 4
Ryan Byrnes,St Kilda,Ankle,TBC
Max King,Sydney Swans,Back,Late season
Braeden Campbell,Sydney Swans,Shin,TBC
Noah Long,West Coast Eagles,Knee,2027
